"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","patient-portal-ui/patient-portal-pages.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:39 UTC 2026","passed","Fri Sep 18 22:59:39 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","41","Scenarios should not depend on Clients","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","2","Services should end with '-service.ts'","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","Naming conventions","sparta-framework/sparta-files.test.ts","",""
"","44","Base Services should not depend on Scenarios","Sparta Framework Tests","Fri Sep 18 22:59:37 UTC 2026","passed","Fri Sep 18 22:59:37 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","45","Base Clients should not depend on Services","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","1435","Patient portal UI - sign in and store storage state - patient_wilson","Setup Patient Portal UI Auth","Fri Sep 18 22:59:24 UTC 2026","passed","Fri Sep 18 22:59:26 UTC 2026","","patient-portal-ui/setup/patient-portal-auth-ui.setup.ts","",""
"","461","Patient portal UI - medical history page - verify history entries","Patient Portal UI","Fri Sep 18 22:59:45 UTC 2026","passed","Fri Sep 18 22:59:45 UTC 2026","","patient-portal-ui/patient-portal-pages.test.ts","",""
"","646","Assistant portal UI - sign in and store storage state - assistant_davis","Setup Assistant Portal UI Auth","Fri Sep 18 22:59:31 UTC 2026","passed","Fri Sep 18 22:59:32 UTC 2026","","assistant-portal-ui/setup/assistant-portal-auth-ui.setup.ts","",""
"","456","Assistant portal UI - appointments page - verify doctor dropdown options","Assistant Portal UI","Fri Sep 18 22:59:40 UTC 2026","passed","Fri Sep 18 22:59:41 UTC 2026","","assistant-portal-ui/appointments.test.ts","",""
"","720","Patient Portal UI - Verify Appointments","End2End","Fri Sep 18 22:59:54 UTC 2026","passed","Fri Sep 18 22:59:55 UTC 2026","","end2end/patient-portal.test.ts","",""
"","1","generated/end2end/assistant-creates-future-appointment-and-patient-cancels-it.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:39 UTC 2026","passed","Fri Sep 18 22:59:39 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","1","assistant-portal-ui/dashboard.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","42","Base Clients should not depend on Steppers","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","1","end2end-mobile/patient-mobile.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","2","Not allowed extensions found, only allowed: .ts, .json","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","","sparta-framework/sparta-files.test.ts","",""
"","2","patient-portal-ui/patient-portal-pages.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","1","generated/end2end/assistant-creates-future-appointment-and-patient-cancels-it.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","3","unit/testlayer-date-time-input.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:39 UTC 2026","passed","Fri Sep 18 22:59:39 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","2","Builders should end with '-builder.ts'","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","Naming conventions","sparta-framework/sparta-files.test.ts","",""
